股票代码,股票简称,最新涨跌幅,涨停封单量[20260430],{(}涨停封单量[20260430]{*}100.0{)},自由流通股[20260430],fenglu_ratio,p_open,p_close,p_high,p_low,最低价:不复权排名[20260430],自由流通市值[20260430],实际换手率[20260430],涨停[20260430],zt_first_time,涨停明细数据[20260430],最终涨停时间[20260430],涨停封单额[20260430],涨停开板次数[20260430],market_code,code
688256.SH,寒武纪,20.00028236024932,443471,44347100,205838929,0.21544564099437186,1475,1699.96,1699.96,1475,2/5521,349917945742.84,8.688475540989625,涨停, 13:44:52,"[{""code"":""688256.SH"",""time"":1777527892861,""openTime"":null,""duration"":4507139,""updatedTime"":1777532400000,""firstVol"":2213602.0,""highestVol"":2244868.0,""firstVolDivLTGB"":0.005249418659897383,""firstVolDivVol"":0.13468296051570824,""highestVolDivLTGB"":0.005323564022894142,""highestVolDivVol"":0.13590952216306093}]", 13:44:52,753882961.16,0,17,688256
688521.SH,芯原股份,19.99829110949716,1236970,123697000,396021017,0.3123495842141126,260,280.88,280.88,260,46/5521,111234383254.96,10.329043975966558,涨停, 11:09:07,"[{""code"":""688521.SH"",""time"":1777518547748,""openTime"":null,""duration"":8435896,""updatedTime"":1777532400000,""firstVol"":5781903.0,""highestVol"":8559851.0,""firstVolDivLTGB"":0.010993981914649587,""firstVolDivVol"":0.1624138359359028,""highestVolDivLTGB"":0.016276102709799036,""highestVolDivVol"":0.23777774715996483}]", 11:09:07,347440133.6,0,17,688521
001270.SZ,*ST铖昌,4.997381611431142,831390,83139000,107398291,0.7741184633934258,133.67,140.35,140.35,132,144/5521,15073350141.85,5.402097133929254,涨停, 10:27:59,"[{""code"":""001270.SZ"",""time"":1777516079574,""openTime"":null,""duration"":10904070,""updatedTime"":1777532400000,""firstVol"":1305890.0,""highestVol"":1522790.0,""firstVolDivLTGB"":0.006417163720564488,""firstVolDivVol"":0.24074101385207006,""highestVolDivLTGB"":0.0074830136857150275,""highestVolDivVol"":0.2732265635092655}]", 10:27:59,116685586.5,0,33,001270
605376.SH,博迁新材,9.998328038789507,118200,11820000,164785200,0.07172974271961317,119.7,131.58,131.58,119.7,168/5521,21682436616.0,9.960298012200125,涨停, 11:26:57,"[{""code"":""605376.SH"",""time"":1777519617593,""openTime"":1777525493057,""duration"":459108,""updatedTime"":1777525493057,""firstVol"":7006559.0,""highestVol"":7006559.0,""firstVolDivLTGB"":0.02678348241590214,""firstVolDivVol"":0.5800706411057454,""highestVolDivLTGB"":0.02678348241590214,""highestVolDivVol"":0.5800706411057454},{""code"":""605376.SH"",""time"":1777528248784,""openTime"":null,""duration"":4151216,""updatedTime"":1777532400000,""firstVol"":1410100.0,""highestVol"":1410100.0,""firstVolDivLTGB"":0.0053902905198776755,""firstVolDivVol"":0.09032158802530849,""highestVolDivLTGB"":0.0053902905198776755,""highestVolDivVol"":0.09032158802530849}]", 13:50:48,15552756.000000002,1,17,605376
688531.SH,日联科技,19.999999999999996,349174,34917400,106963834,0.32644117823974034,110,120.6,120.6,105.58,220/5521,12899838380.4,22.545952307580897,涨停, 09:41:55,"[{""code"":""688531.SH"",""time"":1777513315387,""openTime"":1777513334236,""duration"":18849,""updatedTime"":1777513334236,""firstVol"":147313.0,""highestVol"":147313.0,""firstVolDivLTGB"":0.0012834509974561771,""firstVolDivVol"":0.011034132007656548,""highestVolDivLTGB"":0.0012834509974561771,""highestVolDivVol"":0.011034132007656548},{""code"":""688531.SH"",""time"":1777514280047,""openTime"":1777514744242,""duration"":464195,""updatedTime"":1777514744242,""firstVol"":2358127.0,""highestVol"":2390323.0,""firstVolDivLTGB"":0.020544965144137603,""firstVolDivVol"":0.1250948107122498,""highestVolDivLTGB"":0.020825469840356534,""highestVolDivVol"":0.12493953795761809},{""code"":""688531.SH"",""time"":1777514818879,""openTime"":1777514896017,""duration"":77138,""updatedTime"":1777514896017,""firstVol"":2978.0,""highestVol"":2978.0,""firstVolDivLTGB"":2.5945551787177612E-5,""firstVolDivVol"":1.4398711639255124E-4,""highestVolDivLTGB"":2.5945551787177612E-5,""highestVolDivVol"":1.4398711639255124E-4},{""code"":""688531.SH"",""time"":1777515417586,""openTime"":null,""duration"":11566058,""updatedTime"":1777532400000,""firstVol"":52067.0,""highestVol"":1046054.0,""firstVolDivLTGB"":4.536289606793072E-4,""firstVolDivVol"":0.0023614509895625744,""highestVolDivLTGB"":0.009113649506106209,""highestVolDivVol"":0.04697644068991626}]", 10:16:57,42110384.4,3,17,688531
002192.SZ,融捷股份,10.001007150770462,627182,62718200,191495620,0.32751767377238183,103.85,109.22,109.22,102.1,235/5521,20915151616.4,17.67641160669889,涨停, 09:38:07,"[{""code"":""002192.SZ"",""time"":1777513087977,""openTime"":1777515545592,""duration"":2457615,""updatedTime"":1777515545592,""firstVol"":1211200.0,""highestVol"":3961000.0,""firstVolDivLTGB"":0.004674324072941098,""firstVolDivVol"":0.08013816688045446,""highestVolDivLTGB"":0.015286490796664208,""highestVolDivVol"":0.2312174224808713},{""code"":""002192.SZ"",""time"":1777516146716,""openTime"":1777517018874,""duration"":872158,""updatedTime"":1777517018874,""firstVol"":2990200.0,""highestVol"":3004800.0,""firstVolDivLTGB"":0.01153993051759286,""firstVolDivVol"":0.10468230118878583,""highestVolDivLTGB"":0.011596275573293768,""highestVolDivVol"":0.10509445437535585},{""code"":""002192.SZ"",""time"":1777517054833,""openTime"":null,""duration"":9928811,""updatedTime"":1777532400000,""firstVol"":1473500.0,""highestVol"":2943443.0,""firstVolDivLTGB"":0.005686605450362209,""firstVolDivVol"":0.04905112128832645,""highestVolDivLTGB"":0.011359483547085505,""highestVolDivVol"":0.09276795274292902}]", 10:44:14,68500818.04,2,33,002192
605123.SH,派克新材,10.004121162167724,427105,42710500,56450892,0.7565956619427732,100,106.77,106.77,99.91,245/5521,6027261738.84,9.41488577363844,涨停, 09:56:04,"[{""code"":""605123.SH"",""time"":1777514164584,""openTime"":1777514280047,""duration"":115463,""updatedTime"":1777514280047,""firstVol"":4370100.0,""highestVol"":4370100.0,""firstVolDivLTGB"":0.03606559238665999,""firstVolDivVol"":1.1927246010059052,""highestVolDivLTGB"":0.03606559238665999,""highestVolDivVol"":1.1927246010059052},{""code"":""605123.SH"",""time"":1777514455901,""openTime"":null,""duration"":12527743,""updatedTime"":1777532400000,""firstVol"":3368300.0,""highestVol"":3368300.0,""firstVolDivLTGB"":0.027797930215781527,""firstVolDivVol"":0.7513052989964455,""highestVolDivLTGB"":0.027797930215781527,""highestVolDivVol"":0.7513052989964455}]", 10:00:55,45602000.85,1,17,605123
688155.SH,先惠技术,19.997682771405387,578712,57871200,67344830,0.8593265437005335,100,103.57,103.57,96.81,260/5521,6974904043.1,10.479211247544912,涨停, 09:37:13,"[{""code"":""688155.SH"",""time"":1777513033941,""openTime"":1777513087977,""duration"":54036,""updatedTime"":1777513087977,""firstVol"":359801.0,""highestVol"":359801.0,""firstVolDivLTGB"":0.002845716229825921,""firstVolDivVol"":0.0758102860239554,""highestVolDivLTGB"":0.002845716229825921,""highestVolDivVol"":0.0758102860239554},{""code"":""688155.SH"",""time"":1777513116960,""openTime"":null,""duration"":13866684,""updatedTime"":1777532400000,""firstVol"":4048009.0,""highestVol"":4396354.0,""firstVolDivLTGB"":0.03201626707480357,""firstVolDivVol"":0.7767477024303053,""highestVolDivLTGB"":0.03477137620479128,""highestVolDivVol"":0.8197249928494262}]", 09:38:36,59937201.839999996,1,17,688155
603119.SH,浙江荣泰,9.998666844420743,745830,74583000,203879483,0.36581905595669967,76.43,82.51,82.51,76.2,379/5521,16822096142.33,11.23473125542505,涨停, 10:04:55,"[{""code"":""603119.SH"",""time"":1777514695419,""openTime"":null,""duration"":12288225,""updatedTime"":1777532400000,""firstVol"":7070310.0,""highestVol"":8309310.0,""firstVolDivLTGB"":0.034678869575120515,""firstVolDivVol"":0.4252800650198844,""highestVolDivLTGB"":0.04075598916444182,""highestVolDivVol"":0.49372694858301075}]", 10:04:55,61538433.300000004,0,17,603119
920125.BJ,鸿仕达,29.994036970781163,390942,39094200,16481539,2.37199936243818,70.48,87.2,87.2,70,418/5521,1437190200.8,29.6976999538696,涨停, 10:49:26,"[{""code"":""920125"",""time"":1777517366173,""openTime"":null,""duration"":9617471,""updatedTime"":1777532400000,""firstVol"":422699.0,""highestVol"":852735.0,""firstVolDivLTGB"":0.025646816113470958,""firstVolDivVol"":0.09068951009312057,""highestVolDivLTGB"":0.05173879696550183,""highestVolDivVol"":0.178973764954358}]", 10:49:26,34090142.4,0,151,920125
